Wall time,Step,Value
1502410626.387592,1,0.9544087648391724
1502411081.292726,1001,0.5290326476097107
1502411533.622933,2001,0.44044023752212524
1502411981.535893,3001,0.35751280188560486
1502412434.074014,4001,0.2676760256290436
1502412884.345166,5001,0.20682139694690704
1502413336.727762,6001,0.1853639930486679
1502413786.845507,7001,0.19252602756023407
1502414239.265506,8001,0.19284175336360931
1502414689.356373,9001,0.16991157829761505
1502415145.18223,10001,0.15723274648189545
1502415595.021095,11001,0.15078511834144592
1502416037.124821,12001,0.14841803908348083
1502416478.158467,13001,0.1522006243467331
1502416920.270544,14001,0.15191766619682312
1502417364.060506,15001,0.14936088025569916
1502417803.97219,16001,0.14549562335014343
1502418242.907475,17001,0.14224907755851746
1502418684.820146,18001,0.13779735565185547
1502419124.551228,19001,0.14404024183750153
